auditNumber;tranType;pmgSeqNum;pmgPoNumber;pmgLineNumber;prdLvlNumber;orgLvlNumber;pmgDtlType;vpcCasePackId;prdUpc;pmgSellQty;pmgPackQty;pmgSellCost;pmgPackCost;pmgResSellQty;pmgRetail;vpcAptDesc;pmgPayDate;pmgCallOffPo;dmtCode;trfAllocId;pmgShipDate;pmgExpRctDate;pmgCancelDate;pmgManualDist;distroId;pmgShipVia;pmgFob;rcvQcExp;stylePrdLvlNbr;pmgTrackCode;dateCreated;downloadDate1;downloadDate2;pmgPoNotes;pmgRecvNotes;pmgPisDate;pmgExtRctDate;pmgOtbBudDate;pmgAllocator;prdCrossDock;pmgCnclByDate;pmgApplyDcPack;pmgDcPackQty;vpcCaseQty;vpcCaseStdPack;pmgDistSellQty;pmgDtlTechKey;pmgExtPoNum;pmgLocCurr;pmgTaxExcHm;pmgTaxExcLc;pmgTaxExcPo;pmgTotTaxHm;pmgTotTaxPo;pmgSpreadMult;frtTermsDesc;shipViaDesc;fobTermsDesc;pmgPrdVendor;pmgReallocate;pmgAalMethod;pmgApplyBuyMultiple;netCostFlag;pmgPackNetCost
2718;A;0;0;1;;70;1;JMBLUISV23-D1BG BLANCO   ;;;67;;78.45;;;;;;2;;;;;;;;;;;;20230525;;;;;;;;;;;;;;;;;1819                ;;;;;;;;;;;;;;;;
2719;A;0;0;2;;70;1;JMBLUISV23-D1BG AZUL     ;;;67;;78.45;;;;;;2;;;;;;;;;;;;20230525;;;;;;;;;;;;;;;;;1819                ;;;;;;;;;;;;;;;;
